Project_ID,Project_Type,Location_Zone,Land_Type,Land_Area_Acres,Number_of_Owners,Number_of_Parcels,Legal_Cases,Ownership_Disputes,Documents_Missing,Objections_Received,Affected_Families,Rehabilitation_Required,Government_Clearances,Compensation_Dispute,Previous_Acquisition_Delay,Planned_Duration_Days,Approval_Days,Actual_Duration_Days,Delayed
LA00001,Airport,Urban,Commercial,82.39,13.0,16,1.0,1,0.0,2,21,No,4,Yes,Yes,399,62.0,443,1
LA00002,Railway,Semi-Urban,Commercial,42.4,10.0,12,1.0,0,2.0,4,20,Yes,3,No,No,389,48.0,524,1
LA00003,Housing,Rural,Residential,98.76,9.0,11,2.0,1,3.0,6,11,No,4,No,No,366,46.0,454,1
LA00004,Industrial,Urban,Residential,42.62,3.0,7,3.0,1,1.0,3,6,No,5,No,No,451,29.0,455,0
LA00005,Road,Urban,Agricultural,24.08,6.0,14,0.0,0,1.0,4,11,No,2,Yes,No,398,39.0,391,0
LA00006,Housing,Semi-Urban,Residential,39.98,9.0,13,0.0,2,1.0,3,13,Yes,3,Yes,No,330,63.0,427,1
LA00007,Airport,Rural,Agricultural,17.27,6.0,11,1.0,2,3.0,2,15,No,1,No,No,382,102.0,507,1
LA00008,Airport,Semi-Urban,Mixed,18.01,9.0,13,2.0,3,0.0,0,16,No,5,Yes,Yes,333,,403,1
LA00009,Road,Rural,Residential,30.76,13.0,21,1.0,0,2.0,2,17,No,3,No,Yes,233,54.0,323,1
LA00010,Railway,Semi-Urban,Agricultural,27.62,4.0,9,0.0,0,0.0,6,10,No,2,No,No,344,43.0,354,0
LA00011,Railway,Urban,Commercial,80.91,7.0,12,1.0,1,2.0,2,13,Yes,7,No,No,456,142.0,564,1
LA00012,Housing,Semi-Urban,Agricultural,30.48,9.0,11,4.0,2,0.0,2,11,No,6,No,No,255,84.0,362,1
LA00013,Industrial,Urban,Residential,15.28,10.0,11,0.0,2,2.0,1,13,No,5,No,No,398,56.0,449,1
LA00014,Housing,Rural,Residential,34.89,5.0,11,3.0,0,1.0,3,7,No,6,Yes,No,436,52.0,548,1
LA00015,Railway,Urban,Mixed,42.32,7.0,9,4.0,1,1.0,5,10,No,4,No,No,411,51.0,515,1
LA00016,Road,Urban,Residential,37.6,12.0,16,2.0,1,0.0,4,18,No,3,No,Yes,511,41.0,502,0
LA00017,Industrial,Semi-Urban,Commercial,14.65,13.0,14,2.0,1,2.0,5,13,Yes,5,Yes,No,301,66.0,457,1
LA00018,Road,Semi-Urban,Mixed,86.63,15.0,15,1.0,1,0.0,4,17,No,4,No,No,648,80.0,803,1
LA00019,Housing,Semi-Urban,Residential,6.92,5.0,10,1.0,1,2.0,5,10,No,4,No,Yes,553,96.0,623,1
LA00020,Industrial,Semi-Urban,Commercial,37.19,8.0,15,0.0,0,1.0,0,13,No,2,No,No,374,66.0,355,0
LA00021,Airport,Rural,Residential,14.23,4.0,13,1.0,1,1.0,4,9,No,3,No,No,338,38.0,353,0
LA00022,Railway,Rural,Residential,68.03,9.0,15,2.0,1,1.0,6,11,No,6,Yes,No,466,74.0,491,0
LA00023,Housing,Rural,Agricultural,46.8,4.0,9,1.0,0,2.0,4,10,Yes,3,No,Yes,339,78.0,364,0
LA00024,Housing,Semi-Urban,Mixed,42.32,4.0,5,0.0,0,0.0,2,9,No,3,Yes,Yes,186,46.0,229,1
LA00025,Airport,Semi-Urban,Residential,28.79,7.0,14,3.0,0,3.0,2,12,No,4,No,No,248,58.0,368,1
LA00026,Road,Semi-Urban,Residential,81.78,9.0,13,0.0,1,0.0,1,17,No,5,,No,475,15.0,486,0
LA00027,Railway,Semi-Urban,Mixed,28.73,5.0,9,0.0,2,2.0,3,9,Yes,5,Yes,No,365,78.0,497,1
LA00028,Road,Urban,Residential,104.39,5.0,9,2.0,0,0.0,3,11,No,1,Yes,No,347,60.0,423,1
LA00029,Road,Semi-Urban,Mixed,17.58,4.0,12,0.0,0,2.0,1,9,No,6,No,No,441,32.0,529,1
LA00030,Industrial,Urban,Commercial,35.06,7.0,11,1.0,1,1.0,3,10,Yes,4,Yes,No,320,46.0,420,1
LA00031,Airport,Urban,Agricultural,56.95,8.0,9,1.0,1,2.0,2,16,Yes,2,No,Yes,120,56.0,144,0
LA00032,Housing,Rural,Mixed,49.02,11.0,14,0.0,2,2.0,2,12,No,3,No,No,347,113.0,340,0
LA00033,Road,Urban,Commercial,33.11,7.0,10,0.0,1,4.0,7,12,No,1,Yes,Yes,322,94.0,443,1
LA00034,Railway,Semi-Urban,Residential,7.88,5.0,10,,2,1.0,4,6,No,2,Yes,No,302,74.0,391,1
LA00035,Railway,Semi-Urban,Mixed,39.0,6.0,10,0.0,0,0.0,3,12,No,3,Yes,Yes,415,70.0,527,1
LA00036,Road,Urban,Mixed,26.21,6.0,8,0.0,2,0.0,3,12,No,2,No,No,251,98.0,330,1
LA00037,Road,Rural,Mixed,21.65,7.0,14,3.0,1,3.0,4,13,No,2,Yes,No,337,72.0,448,1
LA00038,Railway,Urban,Commercial,59.21,6.0,11,0.0,0,1.0,2,10,No,2,No,No,348,68.0,355,0
LA00039,Road,Rural,Agricultural,6.32,7.0,14,1.0,0,3.0,4,12,Yes,5,Yes,No,286,84.0,277,0
LA00040,Industrial,Rural,Agricultural,33.99,5.0,10,0.0,1,2.0,2,8,No,2,No,No,377,53.0,480,1
LA00041,Railway,Urban,Residential,2.15,4.0,7,,0,0.0,3,9,No,7,No,No,257,67.0,385,1
LA00042,Housing,Urban,Agricultural,49.28,6.0,13,1.0,1,2.0,1,13,No,3,No,Yes,206,48.0,198,0
LA00043,Airport,Urban,Commercial,59.63,11.0,13,2.0,3,,4,17,No,3,No,No,300,85.0,286,0
LA00044,Road,Semi-Urban,Commercial,38.61,5.0,12,2.0,1,0.0,0,9,No,3,No,No,490,54.0,476,0
LA00045,Housing,Urban,Agricultural,24.35,7.0,14,1.0,0,2.0,4,11,Yes,4,Yes,No,443,42.0,434,0
LA00046,Housing,Rural,Agricultural,81.0,10.0,14,2.0,1,,3,19,No,6,No,No,221,70.0,247,0
LA00047,Railway,Urban,Commercial,84.56,15.0,22,1.0,1,2.0,4,19,No,9,Yes,No,450,64.0,476,0
LA00048,Road,Rural,Agricultural,43.86,5.0,9,3.0,0,1.0,3,8,No,3,No,Yes,270,48.0,249,0
LA00049,Industrial,Urban,Mixed,92.83,5.0,11,1.0,2,2.0,5,9,No,4,No,No,371,67.0,482,1
LA00050,Road,Rural,Commercial,17.55,9.0,14,4.0,1,0.0,4,12,Yes,3,No,Yes,254,95.0,238,0
LA00051,Road,Urban,Residential,31.62,9.0,12,0.0,0,1.0,4,12,No,2,No,No,425,48.0,548,1
LA00052,Road,Semi-Urban,Residential,3.56,8.0,12,1.0,1,1.0,2,15,Yes,3,No,No,311,82.0,369,1
LA00053,Airport,Semi-Urban,Commercial,13.38,13.0,18,0.0,2,3.0,2,16,No,3,No,No,391,50.0,500,1
LA00054,Industrial,Urban,Agricultural,12.36,6.0,12,0.0,2,1.0,3,8,No,7,No,No,486,64.0,586,1
LA00055,Airport,Rural,Mixed,49.07,7.0,9,1.0,0,2.0,3,10,Yes,3,Yes,No,341,98.0,352,0
